year,SeedType,Upset,Region,GameCity,GameState,TopSeed,TopScore,TopGames,TopFG,TopFGA,TopFGPer,Top3P,Top3PA,Top3Per,Top2P,Top2PA,Top2Per,TopPTs,TopOppPTS,TopAST,TopORB,TopDRB,TopPoss,TopTSPer,TopEFGPer,TopTOV,TopTOPer,TopFT,TopFTA,TopFTR,TopORTG,TopDRTG,TopSOS,BotSeed,BotScore,BotGames,BotFG,BotFGA,BotFGPer,Bot3P,Bot3PA,Bot3Per,Bot2P,Bot2PA,Bot2Per,BotPTs,BotOppPTS,BotAST,BotORB,BotDRB,BotPoss,BotTSPer,BotEFGPer,BotTOV,BotTOPer,BotFT,BotFTA,BotFTR,BotORTG,BotDRTG,BotSOS
2001,EightNine,1,Two,at Memphis, TN,University of California,70,31,813,1699,0.479,176,503,0.35,637,1196,0.479,2304,2128,508,281,717,2415.8,0.569992281,0.530311948,424,0.175511218,502,732,0.430841672,0.953721335,0.880867621,9.08,Fresno State,82,33,954,2030,0.47,241,678,0.355,713,1352,0.47,2689,2342,592,389,851,2898.2,0.565172431,0.529310345,551,0.190118004,540,793,0.390640394,0.927817266,0.808087779,5.14
2001,EightNine,1,Three,at Dayton, OH,Tennessee,63,33,909,1980,0.459,257,697,0.369,652,1283,0.459,2668,2496,528,421,880,2856.8,0.564374196,0.523989899,528,0.184822179,593,872,0.44040404,0.933912069,0.873704845,10.28,Charlotte,70,33,873,1998,0.437,305,848,0.36,568,1150,0.437,2583,2374,471,411,856,2726.8,0.551951382,0.513263263,418,0.153293237,532,777,0.388888889,0.947264192,0.870617574,7.91
2001,EightNine,1,Four,at San Diego, CA,Georgia Tech,62,30,776,1822,0.426,260,700,0.371,516,1122,0.426,2269,2187,488,345,780,2560.8,0.536843201,0.497255763,474,0.185098407,457,662,0.363336992,0.886051234,0.854029991,11.78,St. Joseph's,66,33,905,1879,0.482,255,716,0.356,650,1163,0.482,2625,2352,590,368,873,2681.2,0.58737447,0.549494412,479,0.17865135,560,808,0.430015966,0.979039236,0.877219156,4.45
2002,OneSixteen,0,One,at Washington, DC,Maryland,85,36,1083,2248,0.482,217,580,0.374,866,1668,0.482,3060,2552,714,473,1006,3116.2,0.575508177,0.53002669,495,0.158847314,677,933,0.415035587,0.981965214,0.818946152,9.38,Siena,70,36,853,2044,0.417,250,722,0.346,603,1322,0.417,2517,2482,465,402,959,2895.6,0.529725225,0.478473581,550,0.189943362,561,754,0.36888454,0.869249896,0.857162592,-3.71
2002,OneSixteen,0,Two,at Greenville, SC,Duke,84,35,1093,2209,0.495,301,830,0.363,792,1379,0.495,3112,2421,625,428,875,3072.4,0.596708135,0.5629244,501,0.163064705,625,906,0.410140335,1.012888947,0.787983336,9.16,Winthrop,37,31,725,1735,0.418,194,630,0.308,531,1105,0.418,2092,2018,359,405,773,2467.6,0.513762549,0.473775216,459,0.186010699,448,684,0.394236311,0.847787324,0.817798671,-8.21
2002,OneSixteen,0,Three,at St. Louis, MO,Kansas,70,37,1259,2487,0.506,224,536,0.418,1035,1951,0.506,3365,2765,767,557,1081,3435.8,0.586547579,0.551266586,602,0.175213924,623,867,0.348612786,0.979393445,0.804761628,9.35,Holy Cross,59,33,694,1711,0.406,148,439,0.337,546,1272,0.406,2083,1968,438,420,756,2497.4,0.505818245,0.448860316,470,0.188195724,547,791,0.462302747,0.83406743,0.78801954,-5.1
2002,OneSixteen,0,Four,at Pittsburgh, PA,Cincinnati,90,35,967,2071,0.467,209,577,0.362,758,1494,0.467,2738,2115,480,462,934,2822.6,0.561028785,0.517382907,416,0.147381847,595,839,0.4051183,0.970027634,0.749309148,6.58,Boston University,52,32,748,1767,0.423,203,567,0.358,545,1200,0.423,2147,2047,399,393,807,2442.4,0.522781284,0.480758347,415,0.169914838,448,651,0.368421053,0.87905339,0.838110056,-7.81
2002,TwoFifteen,0,One,at Washington, DC,UConn,78,34,972,2012,0.483,154,391,0.394,818,1621,0.483,2646,2354,494,464,917,2871.8,0.561002086,0.521371769,545,0.189776447,548,787,0.391153082,0.921373355,0.819694965,7.43,Hampton,67,33,933,1940,0.481,218,615,0.354,715,1325,0.481,2623,2344,470,457,784,2751,0.571658966,0.537113402,489,0.177753544,539,805,0.414948454,0.953471465,0.852053799,-8.9
2002,TwoFifteen,0,Two,at Greenville, SC,Alabama,86,35,910,2071,0.439,217,703,0.309,693,1368,0.439,2658,2334,460,509,860,2898.6,0.544145826,0.491791405,490,0.169047126,621,844,0.407532593,0.916994411,0.805216311,7.67,Florida Atlantic,78,31,859,2011,0.427,178,527,0.338,681,1484,0.427,2303,2235,483,505,707,2729.4,0.505079304,0.47140726,474,0.173664542,407,611,0.303828941,0.843775189,0.818861288,-5.33
2002,TwoFifteen,0,Three,at Sacramento, CA,Oregon,81,35,1014,2082,0.487,304,721,0.422,710,1361,0.487,2994,2538,580,384,896,2908.4,0.608328863,0.560038425,482,0.16572686,662,861,0.413544669,1.02943199,0.872644753,6.93,Montana,62,31,760,1670,0.455,213,596,0.357,547,1074,0.455,2218,2263,452,306,741,2422.4,0.558060426,0.518862275,464,0.191545575,485,721,0.431736527,0.915620872,0.93419749,-1.71
2002,TwoFifteen,0,Four,at Dallas, TX,Oklahoma,71,36,1011,2281,0.443,236,674,0.35,775,1607,0.443,2807,2327,517,543,896,2994.4,0.540631115,0.494958352,427,0.142599519,549,716,0.313897413,0.937416511,0.777117286,7.7,UIC,63,34,862,1953,0.441,251,619,0.405,611,1334,0.441,2503,2400,462,423,757,2708.8,0.542742901,0.50563236,435,0.160587714,528,802,0.410650282,0.924025399,0.886001181,1.42
2002,ThreeFourteen,0,One,at Chicago, IL,Georgia,85,32,871,1947,0.447,189,588,0.321,682,1359,0.447,2444,2271,495,468,758,2680.4,0.542330156,0.495891115,455,0.169750783,513,696,0.357473035,0.911804208,0.847261603,9.24,Murray State,68,32,941,2093,0.45,210,652,0.322,731,1441,0.45,2514,2349,465,510,771,2782.6,0.534902722,0.499761108,456,0.163875512,422,584,0.279025323,0.903471573,0.844174513,-1.94
2002,ThreeFourteen,0,Two,at Pittsburgh, PA,Pitt,71,35,928,1974,0.47,220,682,0.323,708,1292,0.47,2530,2133,590,464,881,2772.4,0.548940307,0.525835866,498,0.179627759,454,751,0.380445795,0.912566729,0.769369499,4.55,Central Connecticut,54,32,814,1777,0.458,139,397,0.35,675,1380,0.458,2280,2018,426,418,829,2535.8,0.547108961,0.497186269,480,0.189289376,513,697,0.392234102,0.899124537,0.795804085,-9.29
2002,ThreeFourteen,0,Three,at Dallas, TX,Mississippi State,70,35,943,1965,0.48,192,551,0.348,751,1414,0.48,2582,2334,566,457,902,2856.8,0.560164535,0.528753181,583,0.204074489,504,772,0.392875318,0.903808457,0.81699804,7.33,McNeese State,58,30,743,1687,0.44,171,466,0.367,572,1221,0.44,2102,1909,387,406,733,2439.4,0.529033947,0.491108477,480,0.196769697,445,681,0.403675163,0.8616873,0.782569484,-5.8
2002,ThreeFourteen,0,Four,at Albuquerque, NM,Arizona,86,34,935,2039,0.459,258,686,0.376,677,1353,0.459,2793,2642,527,430,856,2881,0.572476839,0.521824424,478,0.165914613,665,910,0.446297205,0.96945505,0.917042694,12.48,UCSB,81,31,693,1544,0.449,201,499,0.403,492,1045,0.449,2066,1889,454,301,777,2220.6,0.566660815,0.51392487,423,0.190489057,479,634,0.410621762,0.930379177,0.85067099,-0.05
2002,FourThirteen,0,One,at St. Louis, MO,Kentucky,83,32,905,2021,0.448,219,692,0.316,686,1329,0.448,2460,2183,471,492,791,2736.2,0.534382983,0.501979218,460,0.168116366,431,638,0.315685304,0.899057086,0.797821797,11.99,Valparaiso,68,33,893,1989,0.449,275,785,0.35,618,1204,0.449,2564,2180,570,448,794,2727.6,0.552405247,0.518099548,437,0.160214108,503,754,0.379084967,0.940020531,0.799237425,-1.24
2002,FourThirteen,1,Two,at Sacramento, CA,USC,89,32,909,2063,0.441,201,580,0.347,708,1483,0.441,2494,2232,504,455,776,2726.4,0.527308401,0.489335919,389,0.142678991,475,686,0.332525448,0.91475939,0.818661972,8.3,North Carolina-Wilmington,93,33,784,1803,0.435,221,592,0.373,563,1211,0.435,2240,2034,453,374,762,2468,0.535577659,0.496117582,403,0.163290113,451,655,0.363283417,0.907617504,0.824149109,-0.09
2002,FourThirteen,0,Three,at Chicago, IL,Illinois,93,35,908,1932,0.47,254,692,0.367,654,1240,0.47,2708,2369,590,392,872,2787.8,0.585822575,0.535714286,511,0.183298658,638,862,0.446169772,0.971375278,0.849774015,9.94,San Diego State,64,33,906,1902,0.476,147,409,0.359,759,1493,0.476,2455,2339,472,400,819,2710.8,0.549738454,0.514984227,508,0.187398554,496,752,0.395373291,0.905636712,0.862844917,6.02
